,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2022-07-09 09:00:00,48.75,1312.00,514.00,0.00,784.50,186.00,1368.00,606.00,1756.00
2022-07-09 10:00:00,49.75,1220.75,516.75,0.00,798.50,177.50,1367.00,620.25,1521.00
2022-07-09 11:00:00,49.75,1189.50,515.00,0.00,750.75,155.75,1365.50,613.50,1455.75
2022-07-09 12:00:00,48.25,1161.25,492.00,0.00,843.25,92.00,1366.00,544.50,1419.75
2022-07-09 13:00:00,49.75,1097.75,476.75,0.00,746.75,100.50,1366.50,463.75,1608.75
2022-07-09 14:00:00,51.75,1147.75,477.00,0.00,762.25,86.25,1367.25,342.50,1624.50
2022-07-09 15:00:00,51.00,1164.75,479.00,0.00,654.50,209.75,1367.25,208.50,1530.00
2022-07-09 16:00:00,52.25,1120.75,478.50,0.00,781.00,164.25,1368.00,90.00,1554.75
2022-07-09 17:00:00,53.00,1167.50,483.75,0.00,815.75,255.75,1368.00,13.00,1379.50
2022-07-09 18:00:00,53.00,1106.00,483.75,0.00,781.75,323.75,1368.50,0.00,1477.25
2022-07-09 19:00:00,53.00,1135.00,474.25,0.00,734.25,406.00,1369.25,0.00,1531.75
2022-07-09 20:00:00,53.25,1189.25,474.75,0.00,730.25,431.50,1369.75,0.00,1650.25
2022-07-09 21:00:00,52.75,1325.50,472.25,0.00,500.75,318.00,1370.75,0.00,1914.00
2022-07-09 22:00:00,52.25,1250.75,463.25,0.00,493.25,327.75,1371.00,0.00,2111.75
2022-07-09 23:00:00,50.50,1262.50,461.25,0.00,493.75,347.00,1371.00,0.00,2051.25
2022-07-10 00:00:00,51.00,1273.00,462.00,0.00,493.50,365.00,1371.50,0.00,2003.75
2022-07-10 01:00:00,51.75,1309.25,465.50,0.00,493.00,551.25,1371.25,0.00,1877.75
2022-07-10 02:00:00,51.75,1263.00,479.50,0.00,496.50,686.75,1371.25,0.00,1753.75
2022-07-10 03:00:00,52.50,1220.25,478.75,0.00,617.50,471.00,1371.25,6.50,1744.50
2022-07-10 04:00:00,54.00,1272.50,481.25,0.00,770.00,423.75,1371.00,52.25,1444.75
2022-07-10 05:00:00,53.50,1272.00,479.00,0.00,782.50,411.50,1370.75,149.00,1417.75
2022-07-10 06:00:00,54.25,1255.75,480.75,0.00,747.00,208.00,1371.00,265.25,1400.50
2022-07-10 07:00:00,53.50,1262.75,479.25,0.00,867.75,149.00,1370.50,412.50,1195.50
2022-07-10 08:00:00,52.75,1224.00,479.25,0.00,839.50,108.75,1370.50,520.00,1232.00
2022-07-10 09:00:00,52.75,1203.00,478.50,0.00,833.00,232.25,1370.00,548.75,1214.25
2022-07-10 10:00:00,52.00,1200.25,477.75,0.00,795.75,260.25,1369.50,604.00,1082.75
2022-07-10 11:00:00,51.25,1211.50,479.25,0.00,654.50,65.25,1369.25,551.25,956.75
2022-07-10 12:00:00,50.50,1228.25,479.25,0.00,672.50,62.50,1369.00,437.75,881.50
2022-07-10 13:00:00,50.00,1269.50,478.75,0.00,720.50,74.50,1369.50,344.00,864.50
2022-07-10 14:00:00,50.50,1208.00,477.00,0.00,895.25,161.50,1369.75,246.50,965.50
2022-07-10 15:00:00,52.25,1185.75,473.00,0.00,971.00,224.25,1369.25,134.00,849.25
2022-07-10 16:00:00,53.25,1418.50,483.50,0.00,881.00,252.00,1370.25,63.00,892.25
2022-07-10 17:00:00,53.25,1336.25,484.75,0.00,717.75,318.25,1370.75,11.50,1306.50
2022-07-10 18:00:00,53.50,1267.75,476.75,0.00,772.50,422.50,1371.50,0.00,1262.50
2022-07-10 19:00:00,53.00,1385.75,469.25,0.00,823.25,397.00,1371.75,0.00,1098.50
2022-07-10 20:00:00,52.50,1478.25,495.25,0.00,828.50,398.50,1370.75,0.00,918.50
2022-07-10 21:00:00,51.25,1466.75,479.00,0.00,518.00,706.25,1371.50,0.00,999.75
2022-07-10 22:00:00,53.00,1434.25,485.25,0.00,500.50,658.50,1371.50,0.00,1149.50
2022-07-10 23:00:00,52.50,1378.25,478.25,0.00,500.00,471.25,1372.00,0.00,1521.75
2022-07-11 00:00:00,52.25,1199.25,471.00,0.00,502.00,302.00,1372.75,0.00,1838.75
2022-07-11 01:00:00,52.75,1143.50,474.50,0.00,501.50,266.50,1372.75,0.00,1757.75
2022-07-11 02:00:00,51.25,1322.50,496.00,0.00,504.75,361.25,1372.00,0.00,1328.25
2022-07-11 03:00:00,51.50,1395.50,553.00,0.00,575.75,287.00,1371.75,12.50,1066.00
2022-07-11 04:00:00,53.75,1307.25,671.75,0.00,948.75,490.00,1371.25,81.25,1032.75
2022-07-11 05:00:00,55.00,1159.25,732.75,0.00,974.50,723.75,1371.50,204.25,877.25
2022-07-11 06:00:00,53.25,1333.00,882.75,0.00,889.50,831.50,1353.75,382.25,670.25
2022-07-11 07:00:00,54.50,1428.25,934.00,0.00,857.50,968.00,1339.25,521.75,733.50
2022-07-11 08:00:00,55.25,1413.75,938.25,0.00,847.25,868.00,1342.00,624.25,797.50
2022-07-11 09:00:00,53.50,1435.00,933.50,0.00,881.50,862.25,1315.50,629.75,815.50
2022-07-11 10:00:00,53.75,1443.75,929.75,0.00,891.25,875.75,1344.50,629.50,722.00
2022-07-11 11:00:00,54.67,1464.67,924.00,0.00,905.67,892.00,1326.00,528.33,681.67
2022-07-11 12:00:00,55.25,1407.75,885.75,0.00,871.25,791.75,1345.25,520.25,564.00
2022-07-11 13:00:00,55.50,1379.50,812.75,0.00,842.50,716.00,1301.50,430.50,785.50
2022-07-11 14:00:00,55.25,1274.75,708.50,0.00,692.75,617.25,1287.75,332.00,1303.00
2022-07-11 15:00:00,55.00,1358.50,793.25,0.00,774.00,891.25,1330.00,204.50,592.25
2022-07-11 16:00:00,55.00,1474.00,906.50,0.00,802.00,1071.25,1330.25,87.50,221.50
2022-07-11 17:00:00,56.00,1453.25,933.00,0.00,782.50,1129.25,1339.50,14.50,105.25
2022-07-11 18:00:00,55.75,1475.25,938.25,0.00,692.75,1168.50,1345.00,0.25,111.25
2022-07-11 19:00:00,55.50,1465.25,937.75,0.00,672.75,1125.50,1347.25,0.00,97.75
2022-07-11 20:00:00,57.50,1425.50,951.75,0.00,570.00,697.25,1347.00,0.00,161.75
2022-07-11 21:00:00,62.75,1433.00,907.00,0.00,550.75,636.25,1346.50,0.00,143.25
2022-07-11 22:00:00,61.00,1473.25,914.50,0.00,488.50,729.25,1348.50,0.00,149.50
2022-07-11 23:00:00,61.00,1481.00,911.75,0.00,489.25,732.50,1358.75,0.00,199.75
2022-07-12 00:00:00,61.75,1476.75,901.00,0.00,486.25,730.25,1358.50,0.00,168.00
2022-07-12 01:00:00,61.25,1492.25,898.25,0.00,497.25,744.25,1359.00,0.00,171.00
2022-07-12 02:00:00,60.25,1442.00,903.25,0.00,461.75,703.00,1359.25,0.00,247.75
