,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore
2022-07-10 07:00:00,186.00,2601.00,44.00,599.00,4804.00,193.00,0.00,107.00,0.00,2878.00,3092.00
2022-07-10 08:00:00,185.00,2759.00,45.00,628.00,4881.00,193.00,0.00,107.00,0.00,3230.00,3326.00
2022-07-10 09:00:00,184.00,2931.00,45.00,647.00,4944.00,194.00,0.00,101.00,0.00,3538.00,3340.00
2022-07-10 10:00:00,184.00,3544.00,44.00,617.00,5000.00,194.00,0.00,99.00,0.00,3527.00,3328.00
2022-07-10 11:00:00,185.00,3721.00,44.00,608.00,4997.00,195.00,0.00,99.00,0.00,3845.00,3279.00
2022-07-10 12:00:00,186.00,3405.00,44.00,618.00,4826.00,194.00,0.00,99.00,0.00,3340.00,3510.00
2022-07-10 13:00:00,185.00,2947.00,44.00,650.00,5004.00,194.00,0.00,100.00,0.00,3127.00,3221.00
2022-07-10 14:00:00,184.00,2749.00,45.00,616.00,5056.00,196.00,0.00,114.00,0.00,2956.00,3207.00
2022-07-10 15:00:00,182.00,3124.00,45.00,645.00,5259.00,196.00,109.00,136.00,0.00,2225.00,2929.00
2022-07-10 16:00:00,185.00,3965.00,47.00,612.00,6088.00,196.00,29.00,146.00,0.00,1337.00,2484.00
2022-07-10 17:00:00,190.00,4304.00,51.00,665.00,6755.00,196.00,187.00,141.00,35.00,563.00,1984.00
2022-07-10 18:00:00,194.00,4469.00,53.00,679.00,6922.00,197.00,411.00,139.00,40.00,176.00,1842.00
2022-07-10 19:00:00,204.00,4449.00,54.00,774.00,6897.00,196.00,954.00,132.00,40.00,12.00,1878.00
2022-07-10 20:00:00,202.00,4368.00,54.00,677.00,6890.00,196.00,633.00,112.00,40.00,0.00,2205.00
2022-07-10 21:00:00,202.00,4168.00,53.00,661.00,6436.00,198.00,0.00,98.00,5.00,0.00,2360.00
2022-07-10 22:00:00,202.00,3962.00,52.00,663.00,6206.00,198.00,0.00,98.00,0.00,0.00,2437.00
2022-07-10 23:00:00,204.00,3713.00,53.00,640.00,6164.00,198.00,0.00,98.00,0.00,0.00,2351.00
2022-07-11 00:00:00,204.00,3563.00,50.00,625.00,6359.00,196.00,0.00,98.00,0.00,0.00,2287.00
2022-07-11 01:00:00,201.00,3640.00,42.00,625.00,6232.00,197.00,0.00,98.00,0.00,0.00,2144.00
2022-07-11 02:00:00,203.00,3720.00,42.00,651.00,6357.00,198.00,0.00,98.00,0.00,12.00,2043.00
2022-07-11 03:00:00,203.00,3790.00,43.00,597.00,6795.00,198.00,0.00,98.00,0.00,156.00,1910.00
2022-07-11 04:00:00,202.00,4184.00,43.00,652.00,8348.00,199.00,10.00,98.00,0.00,650.00,1476.00
2022-07-11 05:00:00,202.00,4233.00,43.00,919.00,9503.00,204.00,38.00,100.00,0.00,1593.00,1096.00
2022-07-11 06:00:00,205.00,4216.00,42.00,811.00,9801.00,203.00,0.00,101.00,0.00,2543.00,1085.00
2022-07-11 07:00:00,202.00,4225.00,41.00,636.00,9274.00,203.00,0.00,101.00,0.00,3322.00,1248.00
2022-07-11 08:00:00,202.00,4158.00,40.00,597.00,8808.00,200.00,0.00,99.00,0.00,3819.00,1531.00
2022-07-11 09:00:00,204.00,4277.00,41.00,611.00,8514.00,199.00,0.00,99.00,0.00,3940.00,1940.00
2022-07-11 10:00:00,203.00,4311.00,42.00,617.00,8377.00,200.00,0.00,100.00,0.00,4604.00,2065.00
2022-07-11 11:00:00,203.00,4265.00,41.00,638.00,8221.00,203.00,0.00,100.00,0.00,4102.00,2183.00
2022-07-11 12:00:00,203.00,4116.00,42.00,606.00,7943.00,203.00,0.00,100.00,0.00,3909.00,2338.00
2022-07-11 13:00:00,200.00,4216.00,44.00,618.00,8171.00,200.00,0.00,99.00,0.00,3519.00,2200.00
2022-07-11 14:00:00,203.00,4307.00,48.00,642.00,8560.00,204.00,0.00,99.00,0.00,2755.00,2220.00
2022-07-11 15:00:00,203.00,4390.00,48.00,639.00,9029.00,211.00,0.00,99.00,0.00,2440.00,2124.00
2022-07-11 16:00:00,205.00,4677.00,49.00,847.00,9596.00,207.00,17.00,105.00,0.00,1508.00,1685.00
2022-07-11 17:00:00,205.00,4826.00,51.00,1013.00,9966.00,207.00,437.00,111.00,35.00,583.00,1455.00
2022-07-11 18:00:00,205.00,4798.00,53.00,922.00,10036.00,206.00,588.00,155.00,40.00,186.00,1442.00
2022-07-11 19:00:00,204.00,4873.00,53.00,732.00,10143.00,205.00,578.00,163.00,40.00,12.00,1681.00
2022-07-11 20:00:00,204.00,4735.00,54.00,727.00,9386.00,208.00,310.00,122.00,40.00,0.00,2075.00
2022-07-11 21:00:00,205.00,4521.00,52.00,657.00,8227.00,209.00,40.00,124.00,5.00,0.00,2347.00
2022-07-11 22:00:00,203.00,4324.00,50.00,654.00,7030.00,206.00,274.00,115.00,0.00,0.00,2509.00
2022-07-11 23:00:00,201.00,4187.00,45.00,625.00,6622.00,208.00,29.00,111.00,0.00,0.00,2582.00
2022-07-12 00:00:00,202.00,4174.00,47.00,621.00,6546.00,208.00,0.00,107.00,0.00,0.00,2376.00
2022-07-12 01:00:00,203.00,4237.00,47.00,634.00,6575.00,208.00,0.00,104.00,0.00,0.00,2147.00
